No.,UPT,ULTG,Lokasi,Nama Bay,Uraian Pekerjaan,Peralatan Padam,Padam,Sifat,PN Jawab,Awal HARI,Awal TGL,Awal BULAN,Awal TAHUN,Awal JAM,Akhir JAM,PERALATAN
32,GANDUL,ULTG TANGERANG SELATAN,GITET 500KV LENGKONG,PMS 7B1.1 FASA R DAN S,Perbaikan hotspot PMS 7B1.1 FASA R DAN S,PMS 7B1.1 FASA R DAN S,150KV,3,MUPT,SELASA,28,APR,2026,22:04,,
,CIKUPA,ULTG SERANG,TRS 150KV SERANG-GMS,TRS 150KV SERANG-GMS #2,Pekerjaan padam emergency perbaikan hotspot klem pistol press T.37 arah T.36 phasa R Serang-GMS 2,TRS 150KV SERANG-GMS #2,150KV,3,MUPT,KAMIS,2,APR,2026,20:23,,
,CIKUPA,ULTG SERANG,GI 150KV GORDA,BAY PUCAM,emergency temuan Hotspot di CF ph S PMS bus A bay Pucam,BAY PUCAM,150KV,3,MUPT,SENIN,13,APR,2026,20:26,,
,CIKUPA,ULTG CIKUPA,TRS 150KV CITRA HABITAT-SINAR SAHABAT,TRS 150KV CITRA HABITAT-SINAR SAHABAT #2,Emergency Perbaikan TLA T.AH3 SUTT 150kV Citra Habitat -SINAR SAHABAT 2,TRS 150KV CITRA HABITAT-SINAR SAHABAT #2,150KV,3,Pihak Luar,RABU,22,APR,2026,17:55,,
,CIKUPA,ULTG SERANG,TRS 150KV CIKANDE-GMS,TRS 150KV CIKANDE-GMS,"Pekerjaan perbaikan temuan hotspot pada clem jumper phasa R,S twr 1 dan phasa R,S,T twr 19 PHT GMS - Cikande",TRS 150KV CIKANDE-GMS,150KV,3,PLN PROYEK,RABU,29,APR,2026,19:59,,
,CIKUPA,ULTG SERANG,TRS 150KV CIKANDE-GMS,TRS 150KV CIKANDE-GMS,Pekerjaan Penambahan Spacer Pengapit Mid span Join dan Dead end Clamp pada Pekerjaan Rekonduktoring SUTT 150 kV Ciikande New (T.21 A) - Cikande,TRS 150KV CIKANDE-GMS,150KV,3,PLN PROYEK,MINGGU,10,MEI,2026,15:03,,
,DURIKOSAMBI,ULTG ANGKE,GIS 150KV MUARAKARANG BARU,GT 3.1,Pengujian Relay Internal GT 3.1 oleh PLN NP,GT 3.1,150kV,3,PIHAK LUAR,SABTU,22,JUN,2025,10:17,14:13,
,DURIKOSAMBI,ULTG ANGKE,GIS 150KV MUARAKARANG BARU,GT 3.1,Pengujian Relay Internal GT 3.1 oleh PLN NP,GT 3.1,150kV,3,,SELASA,25,JUN,2025,11:15,12:05,
,DURIKOSAMBI,ULTG ANGKE,GIS 150KV NEW SENAYAN,Tanpa padam,Penambahan Gas SF6 Kompartemen DS Bus B Bay Trafo #2,Tanpa padam,150kV,5,MUPT,JUMAT,17,MAY,2025,08:00,16:00,
,DURIKOSAMBI,ULTG ANGKE,GIS 150KV PANTAI INDAH KAPUK,Bay Muarakarang Baru #1,Perbaikan Hotspot Line Dropper Fasa T Bay Muarakarang Baru #1,Bay Muarakarang Baru #1,150kV,3,MUPT,SENIN,8,JAN,2025,23:31,04:08,
,DURIKOSAMBI,ULTG ANGKE,GIS 150KV PANTAI INDAH KAPUK,Tanpa padam,Investigasi alarm HMI AC failure Bay Trafo #2,Tanpa padam,150kV,5,MUPT,SABTU,2,MAR,2025,08:00,16:00,
,GANDUL,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,TRF#2 GIS 150KV SAWANGAN,Investigasi desis kabel power INC Bay Trafo #2,TRF#2 GIS 150KV SAWANGAN,150KV,3,PLN PROYEK,RABU,20,MEI,2026,09:32,,
,GANDUL,ULTG PETUKANGAN,GIS 150KV GANDARIA,INC TRF#1 GIS 150KV GANDARIA,Investigasi temuan suara desis pada incoming trafo 1 ,INC TRF#1 GIS 150KV GANDARIA,150KV,3,MUPT,KAMIS,21,MEI,2026,17:04,,
,GANDUL,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,PMT 150KV BAY GANDUL #2,Emergency penambahan gas SF6 Bay Gandul #2,PMT 150KV BAY GANDUL #2,150KV,3,MUPT,SABTU,23,MEI,2026,13:07,,
,CIKUPA,ULTG CIKUPA,GI 150KV CIKUPA,Bay Trafo 3,Pekerjaan emergency perbaikan hotspot pada trafo # 3,Bay Trafo 3,150KV,3,MUPT,RABU,13,MEI,2026,10:05,,
